,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
2312,2,Barcelona,68,2,3,3,0,1,1,0,1,500.0,450000
2313,2,Barcelona,67,2,3,3,0,0,1,0,0,520.0,455000
2314,2,Barcelona,88,3,1,1,0,1,1,1,1,19.0,450000
2315,2,Santo Antônio,62,2,2,2,0,1,1,1,1,150.0,475000
2316,2,Mauá,79,3,2,2,1,0,1,1,0,515.0,495000
2317,2,Centro,150,4,2,2,0,1,1,1,1,508.0,630000
2318,2,Osvaldo Cruz,61,2,3,3,0,0,1,0,0,1.0,510000
2319,2,Santa Maria,76,2,1,1,0,1,1,1,1,450.0,4199000
2320,2,Boa Vista,79,3,2,2,0,1,1,1,1,385.0,700000
2321,2,Olímpico,55,2,1,1,1,1,1,1,0,561.0,2969000
2322,2,Santa Paula,174,3,2,2,0,0,1,1,1,14.0,990000
2323,2,Boa Vista,65,2,1,1,0,1,1,1,1,775.0,365000
2324,2,Olímpico,90,2,1,1,0,1,1,1,1,878.0,850000
2325,2,Santa Paula,90,3,1,1,1,0,1,1,0,738.0,650000
2326,2,Santa Paula,180,3,2,2,0,1,1,1,1,395.0,1200000
2327,2,Santa Maria,67,3,2,2,1,0,0,1,1,410.0,240000
2328,2,Barcelona,65,2, -- , -- ,0,1,1,1,1,447.0,435000
2329,2,Olímpico,70,2,2,2,1,1,1,1,0,482.0,395000
2330,2,Santa Maria,75,2,3,3,0,0,0,0,0,300.0,460000
2331,2,Santa Maria,160,3,1,1,1,0,0,1,1,500.0,7499000
2332,2,Santa Paula,84,3,2,2,1,1,0,1,1,12.0,750000
2333,2,Nova Gerty,140,2,2,2,0,0,1,1,0,600.0,500000
2334,2,Cerâmica,56,2,3,3,0,0,1,1,0,780.0,459000
2335,2,Cerâmica,68,2,3,3,0,1,1,1,1,105.0,720000
2336,2,Santa Maria,64,2,6,6,1,1,1,1,0,351.0,390000
2337,2,Cerâmica,65,2,4,4,0,1,1,0,1,568.0,430000
2338,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,430.0,495000
2339,2,Olímpico,264,3,2,2,0,1,1,1,0,535.0,1980000
2340,2,Santo Antônio,113,2,4,4,0,1,1,0,1,105.0,1130000
2341,2,Fundação,61,2,2,2,0,0,1,0,0,500.0,331000
2342,2,Cerâmica,90,2,2,2,0,1,1,1,1,520.0,990000
2343,2,Santa Paula,106,3, -- , -- ,1,0,1,1,0,19.0,550000
2344,2,Cerâmica,68,2,1,1,0,1,1,1,1,150.0,6498000
2345,2,Barcelona,68,2,1,1,0,1,1,1,1,511.0,450000
2346,2,Barcelona,67,2,2,2,0,0,1,0,0,515.0,455000
2347,2,Barcelona,88,3,2,2,0,1,1,1,1,508.0,450000
2348,2,Santo Antônio,62,2,3,3,0,1,1,1,1,550.0,475000
2349,2,Mauá,79,3,2,2,1,1,1,1,0,1.0,495000
2350,2,Santa Maria,76,2,3,3,0,0,1,1,1,450.0,4199000
2351,2,Boa Vista,79,3,4,4,0,1,1,1,1,385.0,700000
2352,2,Santa Paula,174,3,2,2,1,0,1,1,0,561.0,990000
2353,2,Boa Vista,65,2,2,2,0,1,1,1,1,14.0,365000
2354,2,Olímpico,90,2,1,1,1,0,0,1,1,775.0,850000
2355,2,Santa Paula,90,3,2,2,0,1,1,1,1,450.0,650000
2356,2,Santa Paula,180,3,2,2,1,1,1,1,0,878.0,1200000
2357,2,Santa Maria,67,3,1,1,0,0,0,0,0,395.0,240000
2358,2,Olímpico,70,2,2,2,1,0,0,1,1,410.0,395000
2359,2,Santa Maria,75,2,1,1,1,1,0,1,1,447.0,460000
2360,2,Santa Maria,160,3,2,2,0,0,1,0,0,482.0,7499000
2361,2,Santa Paula,84,3,1,1,0,0,0,0,0,478.0,750000
2362,2,Nova Gerty,140,2,2,2,0,1,1,1,1,351.0,500000
2363,2,Cerâmica,56,2,3,3,0,0,1,1,0,430.0,459000
2364,2,Santa Maria,64,2,1,1,0,1,1,1,1,535.0,390000
2365,2,Cerâmica,65,2,1,1,0,0,1,1,0,105.0,430000
2366,2,Olímpico,264,3,1,1,0,1,1,1,1,500.0,1980000
2367,2,Santo Antônio,113,2,2,2,1,1,1,1,0,520.0,1130000
2368,2,Fundação,61,2,1,1,1,1,1,1,0,19.0,331000
2369,2,Cerâmica,90,2,2,2,0,1,1,0,1,150.0,990000
2370,2,Santa Paula,106,3,2,2,0,1,1,1,1,511.0,550000
2371,2,Cerâmica,68,2,3,3,0,1,1,1,0,515.0,6498000
2372,2,Barcelona,68,2, -- , -- ,0,1,1,0,1,508.0,450000
2373,2,Barcelona,67,2,2,2,0,0,1,0,0,550.0,455000
2374,2,Barcelona,88,3,2,2,0,1,1,1,1,1.0,450000
2375,2,Santo Antônio,62,2,1,1,0,1,1,1,1,450.0,475000
2376,2,Mauá,79,3, -- , -- ,1,0,1,1,0,385.0,495000
2377,2,Nova Gerty,40,1,1,1,0,1,1,1,1,561.0,319000
2378,1,Boa Vista,127,3,1,1,0,1,1,1,1,14.0,530000
2379,2,Fundação,68,2,3,3,0,0,1,0,0,775.0,420000
2380,2,Santo Antônio,160,4,1,1,0,1,1,1,1,450.0,1050000
2381,2,Centro,70,2,3,3,0,1,1,1,1,878.0,500000
2382,2,Santa Maria,150,2,1,1,1,1,1,1,0,738.0,750000
2383,2,Centro,150,4,4,4,0,0,1,1,1,395.0,630000
2384,2,Osvaldo Cruz,61,2,4,4,1,1,0,0,0,447.0,510000
2385,2,Santa Maria,76,2,3,3,0,1,1,1,1,482.0,4199000
2386,2,Boa Vista,79,3,3,3,1,0,1,1,0,478.0,700000
2387,2,Olímpico,55,2, 2-3 , 2-3 ,0,1,1,1,1,300.0,2969000
2388,2,Santa Paula,174,3,2,2,1,0,0,1,1,105.0,990000
2389,2,Boa Vista,65,2,2,2,0,1,1,1,1,351.0,365000
2390,2,Olímpico,90,2,2,2,0,1,1,1,1,430.0,850000
2391,2,Santa Paula,90,3,1,1,0,0,0,0,0,535.0,650000
2392,2,Santa Paula,180,3,2,2,1,0,0,1,1,105.0,1200000
2393,2,Santa Maria,67,3,1,1,1,1,0,1,1,500.0,240000
2394,2,Barcelona,65,2,2,2,0,0,1,1,0,520.0,435000
2395,2,Olímpico,70,2,1,1,0,1,1,1,1,19.0,395000
2396,2,Santa Maria,75,2,2,2,0,1,1,1,1,511.0,460000
2397,2,Santa Maria,160,3,1,1,1,1,1,1,0,515.0,7499000
2398,2,Santa Paula,84,3,2,2,1,1,1,1,0,508.0,750000
2399,2,Nova Gerty,140,2,2,2,0,1,1,0,1,550.0,500000
2400,2,Cerâmica,56,2, -- , -- ,0,1,1,1,1,1.0,459000
2401,2,Cerâmica,68,2,1,1,0,1,1,1,0,450.0,720000
2402,2,Santa Maria,64,2,1,1,0,1,1,0,1,600.0,390000
2403,2,Cerâmica,65,2,3,3,0,0,1,0,0,385.0,430000
2404,2,Jardim Sao Caetano,80,3,1,1,0,1,1,1,1,561.0,495000
2405,2,Olímpico,264,3,3,3,0,1,1,1,1,14.0,1980000
2406,2,Santo Antônio,113,2,3,3,1,0,1,1,0,775.0,1130000
2407,2,Fundação,61,2,2,2,0,1,1,1,1,450.0,331000
2408,2,Cerâmica,90,2,1,1,0,1,1,1,1,878.0,990000
2409,2,Santa Paula,106,3,2,2,0,0,1,0,0,738.0,550000
2410,2,Cerâmica,68,2,1,1,0,1,1,1,1,395.0,6498000
2411,2,Barcelona,68,2,1,1,0,1,1,1,1,410.0,450000
2412,2,Barcelona,67,2,1,1,1,1,1,1,0,447.0,455000
2413,2,Barcelona,88,3,1,1,0,0,1,1,1,482.0,450000
2414,2,Santo Antônio,62,2,2,2,0,1,1,1,1,478.0,475000
2415,2,Mauá,79,3,2,2,1,1,0,0,0,105.0,495000
2416,2,Osvaldo Cruz,61,2,3,3,0,1,1,1,1,351.0,510000
2417,2,Santa Maria,76,2,3,3,0,1,1,1,1,430.0,4199000
2418,2,Boa Vista,79,3,1,1,1,0,0,1,1,535.0,700000
2419,2,Olímpico,55,2,3,3,0,1,1,1,1,105.0,2969000
2420,2,Santa Paula,174,3,2,2,1,1,1,1,0,500.0,990000
2421,2,Boa Vista,65,2,3,3,0,1,1,1,1,520.0,365000
2422,2,Olímpico,90,2,3,3,0,0,0,0,0,19.0,850000
2423,2,Santa Paula,90,3,3,3,1,1,0,1,1,511.0,650000
2424,2,Santa Paula,180,3,3,3,0,0,1,1,0,515.0,1200000
2425,2,Santa Maria,67,3,1,1,0,1,1,1,1,508.0,240000
2426,2,Barcelona,65,2,2,2,0,0,1,1,0,550.0,435000
2427,2,Olímpico,70,2,2,2,0,1,1,1,1,1.0,395000
2428,2,Santa Maria,75,2,2,2,1,1,1,1,0,450.0,460000
2429,2,Santa Maria,160,3,2,2,0,1,1,0,1,385.0,7499000
2430,2,Santa Paula,84,3,1,1,0,1,1,1,1,561.0,750000
2431,2,Nova Gerty,140,2,2,2,0,1,1,1,0,14.0,500000
2432,2,Cerâmica,56,2,1,1,0,1,1,0,1,775.0,459000
2433,2,Santa Maria,64,2,2,2,0,0,1,0,0,450.0,390000
2434,2,Cerâmica,65,2,2,2,0,1,1,1,1,878.0,430000
2435,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,738.0,495000
2436,2,Olímpico,264,3,2,2,1,0,1,1,0,395.0,1980000
2437,2,Santo Antônio,113,2,2,2,0,1,1,1,1,410.0,1130000
2438,2,Fundação,61,2,2,2,0,1,1,1,1,447.0,331000
2439,2,Cerâmica,90,2,1,1,0,0,1,0,0,482.0,990000
2440,2,Santa Paula,106,3,2,2,0,1,1,1,1,478.0,550000
2441,2,Cerâmica,68,2,1,1,0,1,1,1,1,351.0,6498000
2442,2,Barcelona,68,2,3,3,1,1,1,1,0,568.0,450000
